,tweetID,date,content,likeCount,retweetCount
0,1630151413442412546,2023-02-27 10:22:38+00:00,"🔹HP FOLIO 1040 GEN 6 TOUCHSCREEN 
🔹SUPER SLIM 14 INCHES
🔹PROCESSOR INTEL CORE I5
🔹STORAGE 8GB RAM,/ 256GB SSD 
🔹 FULL HD 1080 RESOLUTION
🔹GRAPHICS PROCESSOR: INTEL HD GRAPHICS
🔹WITH HDMI/TYPE C AND USB PORTS
🔹PRICE KSH 32,000
🔹CONTACT 0717040531
#AndrewKibe China Square https://t.co/qcMByYBy6I",0,0
1,1630151396400984065,2023-02-27 10:22:34+00:00,"Four managers of two multinationals went into hiding following an an expose by BBC on sexual harassment allegations on tea farms in Kericho.
#Trending:
#AndrewKibe
China Square
#SayNoToLGBTQinKENYA
#MainaAndKingangi https://t.co/MvlWGrCHyL",0,0
2,1630151389878837248,2023-02-27 10:22:32+00:00,Cracked *DSTV AND NETFLIX APPS* TUmia millele bila kulipia kila mwezi works on smart phone na smart tv android tv👉https://t.co/rhtu9R4ovF Natembeya China Square Supreme Court Somalis Amish Saint maximin Kiburi Fc Nyamakima Turkey Ziyech Peter Obi Haverts #AndrewKibe https://t.co/PjEgbeFOq0,0,0
3,1630151353656918016,2023-02-27 10:22:24+00:00,"kes.4500
🌎:Nairobi - Kenya
☎️:+254771838565
🕋:Imenti house,zodiak stalls Z53 
🚛:We deliver WorldWide.
🚥:Available in assorted sizes,brands &amp;colors 
#SayNoToLGBTQinKenya
#AndrewKibe
Nyamakima Natembeya China Square Kitale peter obi supreme Court Kiburi FC Kisumu https://t.co/YMu8zUVg0u",0,0
4,1630151351559700480,2023-02-27 10:22:23+00:00,The same Government that is stopping China Square from its operations in Kenya because they're selling commodities at a cheaper price is the same Government that wants to give every Kenyan gas cylinders for free yet the price of unga is high.,0,0
5,1630151330625998848,2023-02-27 10:22:18+00:00,"Anker Webcam PowerConf C300 @KSh 10,999
&gt;Free Delivery 
&gt;0711516475

Key features:
Look like a pro with true-to-life colors from the 1080p/60FPS camera.
Be heard loud and clear via the ultra-sensitive dual microphones.
AI-powered auto low-light

#andrewkibe
China Square https://t.co/ua6kWJ6yId",0,0
6,1630151276402036737,2023-02-27 10:22:05+00:00,"@dan_nyagah What about Consumers, who make 98% of the so-called Hustlers??? Kuria just want to give China Square to his rich tribesmen!!",0,0
7,1630151249386676226,2023-02-27 10:21:59+00:00,@iamjuddah Does China Square manufacture anything? Or what are you talking about?,0,0
8,1630151217765572608,2023-02-27 10:21:51+00:00,"kes.1000
🌎:Nairobi - Kenya
☎️:+254771838565
🕋:Imenti house,zodiak stalls Z53 
🚛:We deliver WorldWide.
🚥:Available in assorted sizes,brands &amp;colors 
#SayNoToLGBTQinKenya
#AndrewKibe
Nyamakima Natembeya China Square Kitale peter obi supreme Court Kiburi FC Kisumu https://t.co/JNMQW4yiva",0,0
9,1630151168373538824,2023-02-27 10:21:39+00:00,"kes.4500
🌎:Nairobi - Kenya
☎️:+254771838565
🕋:Imenti house,zodiak stalls Z53 
🚛:We deliver WorldWide.
🚥:Available in assorted sizes,brands &amp;colors 
#SayNoToLGBTQinKenya
#AndrewKibe
Nyamakima Natembeya China Square Kitale peter obi supreme Court Kiburi FC Kisumu https://t.co/pL3glD1nVP",0,0
